datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;2811;2811 Alfred-Delp-Schule;W;Alfred-Delp-Schule, Turnhalle;Alfred-Delp-Straße 53, 65201 Wiesbaden;ja;
09.03.2025;06414000;2812;2812 Alfred-Delp-Schule;W;Alfred-Delp-Schule, Turnhalle;Alfred-Delp-Straße 53, 65201 Wiesbaden;ja;
09.03.2025;06414000;3111;3111 Forum;W;Forum, Anbau;Kellerskopfstraße 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3112;3112 Kellerskopfhalle Naurod;W;Kellerskopfhalle Naurod, Anbau;Laurentiusstraße 36 bis 38, 65207 Wiesbaden;ja;
09.03.2025;06414000;3113;3113 Forum;W;Forum, Saal;Kellerskopfstraße 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3211;3211 Ehemalige Katholische Kirche;W;Ehemalige Katholische Kirche;Schlehenweg 7, 65207 Wiesbaden;nein;
09.03.2025;06414000;3212;3212 Ortsverwaltung Auringen;W;Ortsverwaltung Auringen;Kirchenhügel 3, 65207 Wiesbaden;ja;
09.03.2025;06414000;3213;3213 Mehrzweckhalle;W;Mehrzweckhalle;Bremthaler Weg 2, 65207 Wiesbaden;ja;
09.03.2025;06414000;3311;3311 Bürgerhaus Medenbach;W;Bürgerhaus Medenbach;Am Sportfeld 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3312;3312 Bürgerhaus Medenbach;W;Bürgerhaus Medenbach;Am Sportfeld 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3411;3411 Evangelisches Gemeindehaus;W;Evangelisches Gemeindehaus, Großer Saal;Am Rathaus 12, 65207 Wiesbaden;ja;
09.03.2025;06414000;3412;3412 Neue Grundschule Breckenheim;W;Neue Grundschule Breckenheim, Raum 014;Lärchenstraße 2, 65207 Wiesbaden;ja;
09.03.2025;06414000;3413;3413 Neue Grundschule Breckenheim;W;Neue Grundschule Breckenheim, Raum 023;Am alten Weinberg 50, 65207 Wiesbaden;ja;
09.03.2025;06414000;5111;5111 Johann-Hinrich-Wichern-Schule;W;Johann-Hinrich-Wichern-Schule, Eing. Fröbelstr. Mehrzweckraum;Dyckerhoffstraße 22, 65203 Mainz-Amöneburg;ja;
09.03.2025;06414000;5211;5211 Bürgerhaus Mz-Kastel;W;Bürgerhaus Mz-Kastel, 1. OG, Großer Saal;Zehnthofstraße 41, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5212;5212 Bürgerhaus Mz-Kastel;W;Bürgerhaus Mz-Kastel, 1. OG, Großer Saal;Zehnthofstraße 41, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5221;5221 Kindertagesstätte AWO;W;Kindertagesstätte AWO, Fledermausraum;Marie-Juchacz-Straße 48, 55252 Mainz-Kastel;ja;
